Year,Month,Day,Consumption
2012,01,01,3.55034
2012,01,02,5.60000
2012,01,03,5.81202
2012,01,04,5.97378
2012,01,05,5.67065
2012,01,06,4.86191
2012,01,07,5.41816
2012,01,08,5.16960
2012,01,09,6.31338
2012,01,10,6.66100
2012,01,11,5.95637
2012,01,12,6.36198
2012,01,13,6.14729
2012,01,14,4.54653
2012,01,15,3.99955
2012,01,16,6.65404
2012,01,17,6.58038
2012,01,18,6.88737
2012,01,19,6.70548
2012,01,20,6.31618
2012,01,21,6.16853
2012,01,22,4.53074
2012,01,23,6.82052
2012,01,24,6.95101
2012,01,25,7.36172
2012,01,26,7.08081
2012,01,27,6.22343
2012,01,28,5.44859
2012,01,29,5.02211
2012,01,30,7.01959
2012,01,31,7.28271
2012,02,01,7.21353
2012,02,02,7.31146
2012,02,03,6.83345
2012,02,04,6.39628
2012,02,05,5.18171
2012,02,06,6.99281
2012,02,07,6.75879
2012,02,08,7.08998
2012,02,09,7.18955
2012,02,10,6.68317
2012,02,11,5.67897
2012,02,12,4.30750
2012,02,13,6.98368
2012,02,14,6.77201
2012,02,15,6.66882
2012,02,16,6.96297
2012,02,17,5.96246
2012,02,18,5.76391
2012,02,19,5.08061
2012,02,20,6.75826
2012,02,21,6.77505
2012,02,22,6.77247
2012,02,23,6.56067
2012,02,24,6.01425
2012,02,25,5.75255
2012,02,26,4.40383
2012,02,27,6.59280
2012,02,28,6.60051
2012,02,29,6.35088
2012,03,01,6.43809
2012,03,02,5.94278
2012,03,03,5.21370
2012,03,04,4.79564
2012,03,05,6.72014
2012,03,06,7.13923
2012,03,07,7.07808
2012,03,08,7.06292
2012,03,09,6.43291
2012,03,10,5.62779
2012,03,11,4.88040
2012,03,12,6.35424
2012,03,13,6.32405
2012,03,14,6.60214
2012,03,15,6.54445
2012,03,16,6.17789
2012,03,17,5.31196
2012,03,18,4.46773
2012,03,19,6.82723
2012,03,20,6.80728
2012,03,21,6.59365
2012,03,22,5.98603
2012,03,23,5.82970
2012,03,24,5.20200
2012,03,25,4.45967
2012,03,26,5.85053
2012,03,27,5.48978
2012,03,28,5.09794
2012,03,29,5.19842
2012,03,30,5.06562
2012,03,31,5.66748
2012,04,01,4.46855
2012,04,02,6.40459
