Year,Month,Day,Consumption,Companies,Installations,
2015,01,01,641.06840,9,35,
2015,01,02,793.88438,9,37,
2015,01,03,734.00223,9,37,
2015,01,04,752.55967,9,37,
2015,01,05,944.54874,9,37,
2015,01,06,966.66701,9,37,
2015,01,07,1671.70778,9,37,
2015,01,08,1729.72413,9,37,
2015,01,09,1493.17009,9,37,
2015,01,10,866.28186,9,37,
2015,01,11,862.46507,9,37,
2015,01,12,1764.20661,9,37,
2015,01,13,1759.06570,9,37,
2015,01,14,1745.66506,9,37,
2015,01,15,1750.26407,9,37,
2015,01,16,1451.51461,9,37,
2015,01,17,862.98939,9,37,
2015,01,18,871.58507,9,37,
2015,01,19,1732.45839,9,37,
2015,01,20,1775.51657,9,37,
2015,01,21,1783.43958,9,37,
2015,01,22,1735.99557,9,37,
2015,01,23,1477.45815,9,37,
2015,01,24,885.98822,9,37,
2015,01,25,891.00761,9,37,
2015,01,26,1762.75988,9,37,
2015,01,27,1755.32183,9,37,
2015,01,28,1767.11600,9,37,
2015,01,29,1752.10557,9,37,
2015,01,30,1500.15198,9,37,
2015,01,31,886.48831,9,37,
2015,02,01,871.52070,9,37,
2015,02,02,1720.03621,9,37,
2015,02,03,1775.82471,9,37,
2015,02,04,1774.28821,9,37,
2015,02,05,1798.63619,9,37,
2015,02,06,1483.50787,9,37,
2015,02,07,926.12912,9,37,
2015,02,08,908.50168,9,37,
2015,02,09,1721.13476,9,37,
2015,02,10,1705.67787,9,37,
2015,02,11,1750.64871,9,37,
2015,02,12,1744.14777,9,37,
2015,02,13,1507.59528,9,37,
2015,02,14,890.54929,9,37,
2015,02,15,932.09233,9,37,
2015,02,16,1677.56053,9,37,
2015,02,17,1681.24064,9,37,
2015,02,18,1784.70184,9,37,
2015,02,19,1742.68385,9,37,
2015,02,20,1542.50016,9,37,
2015,02,21,902.82959,9,37,
2015,02,22,904.37023,9,37,
2015,02,23,1751.01725,9,37,
2015,02,24,1752.99124,9,37,
2015,02,25,1761.86818,9,37,
2015,02,26,1727.51344,9,37,
2015,02,27,1557.01093,9,37,
2015,02,28,931.47637,9,37,
2015,03,01,897.78919,9,37,
2015,03,02,1710.87519,9,37,
2015,03,03,1695.61475,9,37,
2015,03,04,1760.45430,9,37,
2015,03,05,1724.86222,9,37,
2015,03,06,1507.24754,9,37,
2015,03,07,888.40390,9,37,
2015,03,08,900.66278,9,37,
2015,03,09,1734.34941,9,37,
2015,03,10,1744.22446,9,37,
2015,03,11,1752.88838,9,37,
2015,03,12,1749.79865,9,37,
2015,03,13,1575.01739,9,37,
2015,03,14,948.51163,9,37,
2015,03,15,908.72468,9,37,
2015,03,16,1747.17478,9,37,
2015,03,17,1749.34984,9,37,
2015,03,18,1750.62637,9,37,
2015,03,19,1727.91632,9,37,
2015,03,20,1505.21601,9,37,
2015,03,21,939.24331,9,37,
2015,03,22,898.71856,9,37,
2015,03,23,1712.60490,9,37,
2015,03,24,1748.52970,9,37,
2015,03,25,1740.04695,9,37,
2015,03,26,1738.77574,9,37,
2015,03,27,1567.50460,9,37,
2015,03,28,913.23309,9,37,
2015,03,29,927.12654,9,37,
2015,03,30,1732.35873,9,37,
2015,03,31,1750.55313,9,37,
2015,04,01,1754.68294,9,37,
2015,04,02,1593.84204,9,37,
2015,04,03,834.13128,9,37,
2015,04,04,689.70006,9,37,
2015,04,05,682.74434,9,37,
2015,04,06,884.51846,9,37,
2015,04,07,1723.48937,9,37,
2015,04,08,1731.96804,9,37,
2015,04,09,1719.55255,9,37,
2015,04,10,1475.68503,9,37,
2015,04,11,886.70576,9,37,
2015,04,12,905.74732,9,37,
2015,04,13,1750.65665,9,37,
2015,04,14,1767.72492,9,37,
2015,04,15,1737.96079,9,37,
2015,04,16,1655.88601,9,37,
2015,04,17,1443.58962,9,37,
2015,04,18,883.56953,9,37,
2015,04,19,905.59411,9,37,
2015,04,20,1673.84048,9,37,
2015,04,21,1728.97881,9,37,
2015,04,22,1699.73592,9,37,
2015,04,23,1660.36837,9,37,
2015,04,24,1472.22896,9,37,
2015,04,25,857.84975,9,37,
2015,04,26,877.63193,9,37,
2015,04,27,1725.38612,9,37,
2015,04,28,1740.37291,9,37,
2015,04,29,1714.30943,9,37,
2015,04,30,1563.40191,9,37,
2015,05,01,826.48858,9,37,
2015,05,02,813.39200,9,37,
2015,05,03,872.53560,9,37,
2015,05,04,1706.51514,9,37,
2015,05,05,1715.32937,9,37,
2015,05,06,1695.07224,9,37,
2015,05,07,1700.93151,9,37,
2015,05,08,1453.08998,9,37,
2015,05,09,898.51635,9,37,
2015,05,10,890.32533,9,37,
2015,05,11,1674.56756,9,37,
2015,05,12,1682.83862,9,37,
2015,05,13,1633.64589,9,37,
2015,05,14,985.36021,9,37,
2015,05,15,1042.32670,9,37,
2015,05,16,820.96672,9,37,
2015,05,17,886.99966,9,37,
2015,05,18,1693.83810,9,37,
2015,05,19,1688.49372,9,37,
2015,05,20,1654.64091,9,37,
2015,05,21,1671.17064,9,37,
2015,05,22,1428.56462,9,37,
2015,05,23,851.97834,9,37,
2015,05,24,903.17081,9,37,
2015,05,25,1756.25397,9,37,
2015,05,26,1728.52774,9,37,
2015,05,27,1724.20856,9,37,
2015,05,28,1699.20693,9,37,
2015,05,29,1395.42392,9,37,
2015,05,30,922.55088,9,37,
2015,05,31,927.21585,9,37,
2015,06,01,1728.24535,9,37,
2015,06,02,1762.29016,9,37,
2015,06,03,1750.41257,9,37,
2015,06,04,1723.85011,9,37,
2015,06,05,1505.59583,9,37,
2015,06,06,891.24847,9,37,
2015,06,07,856.36162,9,37,
2015,06,08,1744.89825,9,37,
2015,06,09,1733.37122,9,37,
2015,06,10,1726.85983,9,37,
2015,06,11,1724.28181,9,37,
2015,06,12,1530.52644,9,37,
2015,06,13,940.72793,9,37,
2015,06,14,924.50545,9,37,
2015,06,15,1742.89079,9,37,
2015,06,16,1763.17915,9,37,
2015,06,17,1717.87147,9,37,
2015,06,18,1558.48429,9,37,
2015,06,19,760.00497,9,46,
2015,06,20,699.22487,9,46,
2015,06,21,806.58383,9,46,
2015,06,22,1691.08090,9,46,
2015,06,23,1730.44774,9,46,
2015,06,24,1765.76167,9,46,
2015,06,25,1746.11455,9,46,
2015,06,26,1565.57716,9,46,
2015,06,27,996.49220,9,46,
2015,06,28,976.68453,9,46,
2015,06,29,1719.08795,9,46,
2015,06,30,1770.69108,9,46,
2015,07,01,1757.37704,9,46,
2015,07,02,1709.38027,9,46,
2015,07,03,1509.24798,9,46,
2015,07,04,947.31890,9,46,
2015,07,05,946.03119,9,46,
2015,07,06,1646.55914,9,46,
2015,07,07,1696.19804,9,46,
2015,07,08,1651.99674,9,46,
2015,07,09,1511.85945,9,46,
2015,07,10,1007.77648,9,46,
2015,07,11,663.94058,9,46,
2015,07,12,633.46354,9,46,
2015,07,13,680.09798,9,46,
2015,07,14,654.26622,9,46,
2015,07,15,657.91242,9,46,
2015,07,16,664.29783,9,46,
2015,07,17,634.06209,9,46,
2015,07,18,518.73037,9,46,
2015,07,19,502.52535,9,46,
2015,07,20,614.92487,9,46,
2015,07,21,607.37094,9,46,
2015,07,22,604.50467,9,46,
2015,07,23,615.54244,9,46,
2015,07,24,580.21483,9,46,
2015,07,25,464.59957,9,46,
2015,07,26,464.55572,9,46,
2015,07,27,590.26326,9,46,
2015,07,28,590.46378,9,46,
2015,07,29,592.90845,9,46,
2015,07,30,604.67332,9,46,
2015,07,31,584.01840,9,46,
2015,08,01,491.13363,9,46,
2015,08,02,489.33849,9,46,
2015,08,03,723.75341,9,46,
2015,08,04,772.21015,9,46,
2015,08,05,836.76174,9,46,
2015,08,06,890.51536,9,46,
2015,08,07,852.47751,9,46,
2015,08,08,638.55225,9,46,
2015,08,09,675.52498,9,46,
2015,08,10,1465.40331,9,46,
2015,08,11,1560.69340,9,46,
2015,08,12,1614.08483,9,46,
2015,08,13,1588.09018,9,46,
2015,08,14,1406.25181,9,46,
2015,08,15,786.95888,9,46,
2015,08,16,818.00107,9,46,
2015,08,17,1603.39564,9,46,
2015,08,18,1621.35001,9,46,
2015,08,19,1653.10244,9,46,
2015,08,20,1643.06013,9,46,
2015,08,21,1411.56841,9,46,
2015,08,22,804.63814,9,46,
2015,08,23,840.33615,9,46,
2015,08,24,1688.19410,9,46,
2015,08,25,1688.56993,9,46,
2015,08,26,1670.81161,9,46,
2015,08,27,1686.63062,9,46,
2015,08,28,1386.78128,9,46,
2015,08,29,817.95900,9,46,
2015,08,30,848.07645,9,46,
2015,08,31,1662.13328,9,46,
2015,09,01,1698.29696,9,46,
2015,09,02,1697.44694,9,46,
2015,09,03,1696.39071,9,46,
2015,09,04,1456.21428,9,46,
2015,09,05,849.49729,9,46,
2015,09,06,883.54178,9,46,
2015,09,07,1665.24577,9,46,
2015,09,08,1699.88229,9,46,
2015,09,09,1715.20583,9,46,
2015,09,10,1681.21767,9,46,
2015,09,11,1474.17433,9,46,
2015,09,12,906.93880,9,46,
2015,09,13,871.73758,9,46,
2015,09,14,1734.30377,9,46,
2015,09,15,1721.40700,9,46,
2015,09,16,1709.63202,9,46,
2015,09,17,1703.83864,9,46,
2015,09,18,1485.17106,9,46,
2015,09,19,928.68498,9,46,
2015,09,20,908.46778,9,46,
2015,09,21,1666.07295,9,46,
2015,09,22,1691.72633,9,46,
2015,09,23,1690.73598,9,46,
2015,09,24,1640.13022,9,46,
2015,09,25,1397.92326,9,46,
2015,09,26,883.56226,9,46,
2015,09,27,860.32847,9,46,
2015,09,28,1717.26747,9,46,
2015,09,29,1756.46502,9,46,
2015,09,30,1712.25526,9,46,
2015,10,01,1699.63865,9,46,
2015,10,02,1375.92871,9,46,
2015,10,03,814.17033,9,46,
2015,10,04,863.18755,9,46,
2015,10,05,1705.17024,9,46,
2015,10,06,1750.12361,9,46,
2015,10,07,1693.64389,9,46,
2015,10,08,1723.27188,9,46,
2015,10,09,1435.52123,9,46,
2015,10,10,794.16035,9,46,
2015,10,11,855.08238,9,46,
2015,10,12,1709.07784,9,46,
2015,10,13,1701.70097,9,46,
2015,10,14,1728.45126,9,46,
2015,10,15,1663.09005,9,46,
2015,10,16,1384.00431,9,46,
2015,10,17,895.53608,9,46,
2015,10,18,866.21576,9,46,
2015,10,19,1715.34533,9,46,
2015,10,20,1709.93285,9,46,
2015,10,21,1685.84145,9,46,
2015,10,22,1681.52816,9,46,
2015,10,23,1391.36547,9,46,
2015,10,24,814.06327,9,46,
2015,10,25,826.60675,9,46,
2015,10,26,1684.05827,9,46,
2015,10,27,1724.63078,9,46,
2015,10,28,1714.86490,9,46,
2015,10,29,1581.98900,9,46,
2015,10,30,1305.88808,9,46,
2015,10,31,752.63541,9,46,
2015,11,01,767.05363,9,46,
2015,11,02,1636.80052,9,46,
2015,11,03,1684.19997,9,46,
2015,11,04,1628.03158,9,46,
2015,11,05,1621.36331,9,46,
2015,11,06,1311.60234,9,46,
2015,11,07,842.21904,9,46,
2015,11,08,781.79531,9,46,
2015,11,09,1612.35035,9,46,
2015,11,10,1618.48626,9,46,
2015,11,11,1646.16608,9,46,
2015,11,12,1631.23342,9,46,
2015,11,13,1378.57350,9,46,
2015,11,14,817.93719,9,46,
2015,11,15,791.30819,9,46,
2015,11,16,1540.92705,9,46,
2015,11,17,1583.51386,9,46,
2015,11,18,1645.77536,9,46,
2015,11,19,1618.43881,9,46,
2015,11,20,1256.07245,9,46,
2015,11,21,819.39976,9,46,
2015,11,22,811.68160,9,46,
2015,11,23,1641.80570,9,46,
2015,11,24,1665.03234,9,46,
2015,11,25,1664.29992,9,46,
2015,11,26,1638.08928,9,46,
2015,11,27,1418.19138,9,46,
2015,11,28,836.14189,9,46,
2015,11,29,791.56165,9,46,
2015,11,30,1657.11389,9,46,
2015,12,01,1707.97658,9,46,
2015,12,02,1680.79424,9,46,
2015,12,03,1679.00059,9,46,
2015,12,04,1450.00255,9,46,
2015,12,05,895.21651,9,46,
2015,12,06,822.04538,9,46,
2015,12,07,1726.95495,9,46,
2015,12,08,1677.03209,9,46,
2015,12,09,1716.26309,9,46,
2015,12,10,1723.19210,9,46,
2015,12,11,1440.46007,9,46,
2015,12,12,862.46822,9,46,
2015,12,13,837.17332,9,46,
2015,12,14,1704.44654,9,46,
2015,12,15,1752.32370,9,46,
2015,12,16,1758.66775,9,46,
2015,12,17,1734.02488,9,46,
2015,12,18,1409.17115,9,46,
2015,12,19,822.99133,9,46,
2015,12,20,793.59666,9,46,
2015,12,21,1398.03393,9,46,
2015,12,22,1312.06233,9,46,
2015,12,23,1033.27221,9,46,
2015,12,24,635.76774,9,46,
2015,12,25,628.80941,9,46,
2015,12,26,607.00678,9,46,
2015,12,27,639.36845,9,46,
2015,12,28,929.95944,9,46,
2015,12,29,930.75846,9,46,
2015,12,30,836.45827,9,46,
2015,12,31,633.79678,9,46,
2016,01,01,621.69312,9,46,
2016,01,02,676.65375,9,46,
2016,01,03,703.94744,9,46,
2016,01,04,1104.90821,9,46,
2016,01,05,1125.54092,9,46,
2016,01,06,858.03347,9,46,
2016,01,07,1437.47314,9,46,
2016,01,08,1293.87892,9,46,
2016,01,09,817.75689,9,46,
2016,01,10,795.34776,9,46,
2016,01,11,1644.60555,9,46,
2016,01,12,1752.68335,9,46,
2016,01,13,1798.19176,9,46,
2016,01,14,1801.16230,9,46,
2016,01,15,1559.34670,9,46,
2016,01,16,928.72600,9,46,
2016,01,17,878.02920,9,46,
2016,01,18,1764.93382,9,46,
2016,01,19,1784.69529,9,46,
2016,01,20,1774.92435,9,46,
2016,01,21,1796.17277,9,46,
2016,01,22,1477.77152,9,46,
2016,01,23,858.65332,9,46,
2016,01,24,828.17028,9,46,
2016,01,25,1698.21180,9,46,
2016,01,26,1724.83996,9,46,
2016,01,27,1718.71035,9,46,
2016,01,28,1708.31871,9,46,
2016,01,29,1327.66177,9,46,
2016,01,30,801.54480,9,46,
2016,01,31,799.63306,9,46,
2016,02,01,1713.05714,9,46,
2016,02,02,1721.51400,9,46,
2016,02,03,1696.15223,9,46,
2016,02,04,1700.75586,9,46,
2016,02,05,1334.04829,9,46,
2016,02,06,765.88669,9,46,
2016,02,07,745.47648,9,46,
2016,02,08,1661.75611,9,46,
2016,02,09,1646.82080,9,46,
2016,02,10,1604.40152,9,46,
2016,02,11,1571.82339,9,46,
2016,02,12,1285.03159,9,46,
2016,02,13,781.66172,9,46,
2016,02,14,796.45375,9,46,
2016,02,15,1666.46177,9,46,
2016,02,16,1731.66886,9,46,
2016,02,17,1695.56849,9,46,
2016,02,18,1718.66638,9,46,
2016,02,19,1435.94944,9,46,
2016,02,20,883.83056,9,46,
2016,02,21,800.61743,9,46,
2016,02,22,1749.69097,9,46,
2016,02,23,1776.65228,9,46,
2016,02,24,1741.86587,9,46,
2016,02,25,1726.92857,9,46,
2016,02,26,1362.03684,9,46,
2016,02,27,794.73668,9,46,
2016,02,28,794.81080,9,46,
2016,02,29,1676.48152,9,46,
2016,03,01,1734.11328,9,46,
2016,03,02,1739.81428,9,46,
2016,03,03,1743.52466,9,46,
2016,03,04,1451.95814,9,46,
2016,03,05,853.01116,9,46,
2016,03,06,799.80851,9,46,
2016,03,07,1744.32442,9,46,
2016,03,08,1751.92014,9,46,
2016,03,09,1722.59032,9,46,
2016,03,10,1692.08384,9,46,
2016,03,11,1388.66262,9,46,
2016,03,12,814.20246,9,46,
2016,03,13,804.14976,9,46,
2016,03,14,1738.64010,9,46,
2016,03,15,1739.61973,9,46,
2016,03,16,1730.72071,9,46,
2016,03,17,1732.83342,9,46,
2016,03,18,1503.07634,9,46,
2016,03,19,883.40735,9,46,
2016,03,20,789.44409,9,46,
2016,03,21,1712.14004,9,46,
2016,03,22,1770.60555,9,46,
2016,03,23,1724.79668,9,46,
2016,03,24,1480.51537,9,46,
2016,03,25,754.95758,9,46,
2016,03,26,655.23656,9,46,
2016,03,27,651.39394,9,46,
2016,03,28,819.76984,9,46,
2016,03,29,1657.70157,9,46,
2016,03,30,1676.10756,9,46,
2016,03,31,1729.26487,9,46,
2016,04,01,1393.82525,9,46,
2016,04,02,767.15647,9,46,
2016,04,03,762.74650,9,46,
2016,04,04,1676.52852,9,46,
2016,04,05,1670.54183,9,46,
2016,04,06,1675.56033,9,46,
2016,04,07,1695.21448,9,46,
2016,04,08,1398.43750,9,46,
2016,04,09,858.17128,9,46,
2016,04,10,810.59363,9,46,
2016,04,11,1701.79733,9,46,
2016,04,12,1718.55106,9,46,
2016,04,13,1702.51316,9,46,
2016,04,14,1693.68123,9,46,
2016,04,15,1391.90708,9,46,
2016,04,16,837.48751,9,46,
2016,04,17,830.50051,9,46,
2016,04,18,1702.52277,9,46,
2016,04,19,1755.16882,9,46,
2016,04,20,1713.57726,9,46,
2016,04,21,1636.94473,9,46,
2016,04,22,1241.68373,9,47,
2016,04,23,818.56150,9,47,
2016,04,24,831.86951,9,47,
2016,04,25,1733.11555,9,47,
2016,04,26,1741.50991,9,47,
2016,04,27,1724.32345,9,47,
2016,04,28,1739.53718,9,47,
2016,04,29,1510.94662,9,47,
2016,04,30,874.94464,9,47,
2016,05,01,822.67457,9,47,
2016,05,02,1655.69314,9,47,
2016,05,03,1714.20515,9,47,
2016,05,04,1643.14038,9,47,
2016,05,05,927.22761,9,47,
2016,05,06,892.88501,9,47,
2016,05,07,735.45144,9,47,
2016,05,08,787.29257,9,47,
2016,05,09,1667.47682,9,47,
2016,05,10,1689.70848,9,47,
2016,05,11,1685.30096,9,47,
2016,05,12,1656.72666,9,47,
2016,05,13,1377.60193,9,47,
2016,05,14,807.49815,9,47,
2016,05,15,810.56876,9,47,
2016,05,16,1678.71319,9,47,
2016,05,17,1683.53148,9,47,
2016,05,18,1686.87868,9,47,
2016,05,19,1659.86408,9,47,
2016,05,20,1431.14683,9,47,
2016,05,21,795.02883,9,47,
2016,05,22,782.18187,9,47,
2016,05,23,1642.23007,9,47,
2016,05,24,1630.68595,9,49,
2016,05,25,1661.65421,9,49,
2016,05,26,1662.58643,9,49,
2016,05,27,1449.97276,9,49,
2016,05,28,861.94060,9,49,
2016,05,29,811.94839,9,49,
2016,05,30,1608.47376,9,49,
2016,05,31,1705.83328,9,49,
2016,06,01,1695.91495,9,51,
2016,06,02,1708.60260,9,51,
2016,06,03,1447.92337,9,51,
2016,06,04,776.68727,9,51,
2016,06,05,745.00710,9,51,
2016,06,06,1000.59276,9,51,
2016,06,07,1663.82783,9,51,
2016,06,08,1698.54309,9,51,
2016,06,09,1697.52008,9,51,
2016,06,10,1511.52825,9,51,
2016,06,11,888.48222,9,51,
2016,06,12,842.09902,9,51,
2016,06,13,1691.16702,9,51,
2016,06,14,1711.83995,9,51,
2016,06,15,1708.89356,9,51,
2016,06,16,1672.19820,9,51,
2016,06,17,1461.52948,9,51,
2016,06,18,996.08224,9,51,
2016,06,19,863.79567,9,51,
2016,06,20,1665.08433,9,51,
2016,06,21,1671.87373,9,51,
2016,06,22,1666.88829,9,51,
2016,06,23,1541.79420,9,51,
2016,06,24,740.34999,9,51,
2016,06,25,645.87355,9,51,
2016,06,26,818.30469,9,51,
2016,06,27,1665.42290,9,51,
2016,06,28,1684.45589,9,51,
2016,06,29,1668.43227,9,51,
2016,06,30,1666.87937,9,51,
2016,07,01,1502.31923,9,51,
2016,07,02,932.65790,9,51,
2016,07,03,800.36198,9,51,
2016,07,04,1616.80542,9,51,
2016,07,05,1605.13155,9,51,
2016,07,06,1697.76542,9,51,
2016,07,07,1669.33407,9,51,
2016,07,08,1438.20233,9,51,
2016,07,09,924.74270,9,51,
2016,07,10,803.96155,9,51,
2016,07,11,1534.68773,9,51,
2016,07,12,1542.88978,9,51,
2016,07,13,1527.06426,9,51,
2016,07,14,1402.55293,9,51,
2016,07,15,1013.24188,9,51,
2016,07,16,590.57922,9,51,
2016,07,17,539.69730,9,51,
2016,07,18,626.15194,9,51,
2016,07,19,608.54325,9,51,
2016,07,20,611.97275,9,51,
2016,07,21,601.18501,9,51,
2016,07,22,573.45405,9,51,
2016,07,23,451.75159,9,51,
2016,07,24,457.13366,9,51,
2016,07,25,596.88192,9,51,
2016,07,26,593.31312,9,51,
2016,07,27,586.39194,9,51,
2016,07,28,598.28528,9,51,
2016,07,29,574.22139,9,51,
