MotherCompany,DaughterCompany,PodId,Year,Month,Day,Weekday,Consumption,Temperature,Date,Consumption Kwh
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,1,1,7,3.55034,3.6,1/1/2012,3550.34
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,1,2,1,5.6,2.4,1/2/2012,5600
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,1,3,2,5.81202,2.2,1/3/2012,5812.02
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,1,4,3,5.97378,-1.2,1/4/2012,5973.78
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,1,5,4,5.67065,-3.1,1/5/2012,5670.65
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,1,6,5,4.86191,-5.9,1/6/2012,4861.91
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,1,7,6,5.41816,-4.7,1/7/2012,5418.16
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,1,8,7,5.1696,-7.1,1/8/2012,5169.6
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,1,9,1,6.31338,-3.2,1/9/2012,6313.38
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,1,10,2,6.661,1.9,1/10/2012,6661
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,1,11,3,5.95637,1.4,1/11/2012,5956.37
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,1,12,4,6.36198,-1,1/12/2012,6361.98
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,1,13,5,6.14729,-1.7,1/13/2012,6147.29
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,1,14,6,4.54653,-3.1,1/14/2012,4546.53
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,1,15,7,3.99955,-0.4,1/15/2012,3999.55
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,1,16,1,6.65404,0.7,1/16/2012,6654.04
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,1,17,2,6.58038,0.3,1/17/2012,6580.38
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,1,18,3,6.88737,-0.9,1/18/2012,6887.37
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,1,19,4,6.70548,-4.9,1/19/2012,6705.48
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,1,20,5,6.31618,-6,1/20/2012,6316.18
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,1,21,6,6.16853,-0.9,1/21/2012,6168.53
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,1,22,7,4.53074,-4.2,1/22/2012,4530.74
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,1,23,1,6.82052,-3.3,1/23/2012,6820.52
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,1,24,2,6.95101,-4.1,1/24/2012,6951.01
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,1,25,3,7.36172,-2.5,1/25/2012,7361.72
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,1,26,4,7.08081,-2.5,1/26/2012,7080.81
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,1,27,5,6.22343,-2.9,1/27/2012,6223.43
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,1,28,6,5.44859,-5.8,1/28/2012,5448.59
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,1,29,7,5.02211,-9,1/29/2012,5022.11
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,1,30,1,7.01959,-6.8,1/30/2012,7019.59
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,1,31,2,7.28271,-9.1,1/31/2012,7282.71
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,2,1,3,7.21353,-12.4,2/1/2012,7213.53
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,2,2,4,7.31146,-12.3,2/2/2012,7311.46
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,2,3,5,6.83345,-17.1,2/3/2012,6833.45
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,2,4,6,6.39628,-12.1,2/4/2012,6396.28
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,2,5,7,5.18171,-8,2/5/2012,5181.71
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,2,6,1,6.99281,-5,2/6/2012,6992.81
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,2,7,2,6.75879,-6.3,2/7/2012,6758.79
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,2,8,3,7.08998,-11.7,2/8/2012,7089.98
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,2,9,4,7.18955,-11,2/9/2012,7189.55
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,2,10,5,6.68317,-3.9,2/10/2012,6683.17
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,2,11,6,5.67897,-3.2,2/11/2012,5678.97
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,2,12,7,4.3075,-6.6,2/12/2012,4307.5
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,2,13,1,6.98368,-1.9,2/13/2012,6983.68
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,2,14,2,6.77201,-2.4,2/14/2012,6772.01
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,2,15,3,6.66882,-7.9,2/15/2012,6668.82
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,2,16,4,6.96297,-3.4,2/16/2012,6962.97
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,2,17,5,5.96246,-2.8,2/17/2012,5962.46
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,2,18,6,5.76391,1.4,2/18/2012,5763.91
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,2,19,7,5.08061,-2,2/19/2012,5080.61
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,2,20,1,6.75826,2.3,2/20/2012,6758.26
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,2,21,2,6.77505,1.5,2/21/2012,6775.05
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,2,22,3,6.77247,3.2,2/22/2012,6772.47
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,2,23,4,6.56067,2.8,2/23/2012,6560.67
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,2,24,5,6.01425,1.1,2/24/2012,6014.25
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,2,25,6,5.75255,-2,2/25/2012,5752.55
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,2,26,7,4.40383,-3.4,2/26/2012,4403.83
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,2,27,1,6.5928,3.4,2/27/2012,6592.8
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,2,28,2,6.60051,3.9,2/28/2012,6600.51
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,2,29,3,6.35088,3.7,2/29/2012,6350.88
S1_2000089155,S1_1000792136,SOT735999241025209801,2012,3,1,4,6.43809,3.8,3/1/2012,6438.09
