Year,Month,Day,Consumption
2013,01,01,4.36324
2013,01,02,5.27566
2013,01,03,5.45501
2013,01,04,5.23131
2013,01,05,4.53305
2013,01,06,3.89762
2013,01,07,6.20929
2013,01,08,5.92977
2013,01,09,5.87427
2013,01,10,6.51366
2013,01,11,5.49832
2013,01,12,4.64110
2013,01,13,4.51204
2013,01,14,6.10917
2013,01,15,6.25497
2013,01,16,6.04628
2013,01,17,6.33106
2013,01,18,6.31492
2013,01,19,5.23197
2013,01,20,4.42627
2013,01,21,6.39604
2013,01,22,6.86992
2013,01,23,6.55925
2013,01,24,6.76778
2013,01,25,6.49296
2013,01,26,5.09816
2013,01,27,4.57061
2013,01,28,6.57780
2013,01,29,6.20869
2013,01,30,5.95202
2013,01,31,5.94657
2013,02,01,6.07719
2013,02,02,5.46582
2013,02,03,4.31193
2013,02,04,6.25895
2013,02,05,6.21601
2013,02,06,6.37331
2013,02,07,6.35591
2013,02,08,5.76736
2013,02,09,4.88050
2013,02,10,4.79996
2013,02,11,6.62337
2013,02,12,6.29584
2013,02,13,5.89456
2013,02,14,6.33943
2013,02,15,5.57609
2013,02,16,4.25503
2013,02,17,4.32095
2013,02,18,6.07891
2013,02,19,6.34204
2013,02,20,6.19225
2013,02,21,6.41491
2013,02,22,6.25113
2013,02,23,4.99873
2013,02,24,4.64717
2013,02,25,6.27047
2013,02,26,6.27152
2013,02,27,6.13115
2013,02,28,6.19492
2013,03,01,5.16691
2013,03,02,4.39428
2013,03,03,3.87784
2013,03,04,6.21782
2013,03,05,6.10830
2013,03,06,5.96923
2013,03,07,6.39413
2013,03,08,5.90937
2013,03,09,4.70135
2013,03,10,4.66220
2013,03,11,6.39935
2013,03,12,6.42566
2013,03,13,6.24261
2013,03,14,6.56523
2013,03,15,5.75795
2013,03,16,4.77619
2013,03,17,4.42355
2013,03,18,6.22682
2013,03,19,6.40329
2013,03,20,6.36627
2013,03,21,6.19509
2013,03,22,6.13925
2013,03,23,4.75910
2013,03,24,4.61858
2013,03,25,6.20163
2013,03,26,6.07387
2013,03,27,5.97362
2013,03,28,5.49477
2013,03,29,4.45177
2013,03,30,4.47248
2013,03,31,4.35540
2013,04,01,4.25539
2013,04,02,6.04617
2013,04,03,5.77963
2013,04,04,5.64114
2013,04,05,5.32608
2013,04,06,4.10157
2013,04,07,4.42327
2013,04,08,5.76997
2013,04,09,5.74501
2013,04,10,5.71499
2013,04,11,5.62562
2013,04,12,5.34815
2013,04,13,4.18866
2013,04,14,3.93640
2013,04,15,5.45887
2013,04,16,5.23194
2013,04,17,5.02161
2013,04,18,4.57992
2013,04,19,4.43249
2013,04,20,3.51913
2013,04,21,2.88315
2013,04,22,4.45101
2013,04,23,4.56174
2013,04,24,4.57106
2013,04,25,4.36331
2013,04,26,3.76233
2013,04,27,2.24571
2013,04,28,2.03383
2013,04,29,4.46821
2013,04,30,4.21210
2013,05,01,2.64819
2013,05,02,4.38947
2013,05,03,3.79185
2013,05,04,2.33652
2013,05,05,2.65842
2013,05,06,4.20880
2013,05,07,4.22612
2013,05,08,4.47200
2013,05,09,2.42272
2013,05,10,3.60742
2013,05,11,2.28099
2013,05,12,2.36326
2013,05,13,4.34756
2013,05,14,4.41380
2013,05,15,4.32244
2013,05,16,4.31622
2013,05,17,3.92795
2013,05,18,2.24190
2013,05,19,1.89687
2013,05,20,4.11270
2013,05,21,4.09656
2013,05,22,3.96632
2013,05,23,3.95470
2013,05,24,3.50735
2013,05,25,1.80785
2013,05,26,1.64711
2013,05,27,4.24327
2013,05,28,4.27436
2013,05,29,4.36330
2013,05,30,4.11782
2013,05,31,3.55247
2013,06,01,2.34180
2013,06,02,2.51074
2013,06,03,4.51220
2013,06,04,4.40432
2013,06,05,4.47649
2013,06,06,2.58168
2013,06,07,3.49584
2013,06,08,1.67916
2013,06,09,2.26352
2013,06,10,4.27878
2013,06,11,4.25404
2013,06,12,4.27492
2013,06,13,4.27183
2013,06,14,3.83450
2013,06,15,2.10205
2013,06,16,2.34344
2013,06,17,4.51061
2013,06,18,4.29274
2013,06,19,4.19796
2013,06,20,3.87852
2013,06,21,1.99892
2013,06,22,2.20908
2013,06,23,1.80085
2013,06,24,4.04437
2013,06,25,4.05135
2013,06,26,4.07692
2013,06,27,4.20632
2013,06,28,3.76431
2013,06,29,1.85931
2013,06,30,1.95457
2013,07,01,4.22697
2013,07,02,4.13043
2013,07,03,4.12714
2013,07,04,4.00520
2013,07,05,3.45125
2013,07,06,2.17212
2013,07,07,2.09361
2013,07,08,3.86845
2013,07,09,3.98347
2013,07,10,3.79379
2013,07,11,3.88861
2013,07,12,3.28053
2013,07,13,1.77608
2013,07,14,1.93428
2013,07,15,3.58021
2013,07,16,3.56514
2013,07,17,3.46300
2013,07,18,3.63795
2013,07,19,3.16009
2013,07,20,2.10389
2013,07,21,2.04082
2013,07,22,3.24305
2013,07,23,3.32361
2013,07,24,3.19593
2013,07,25,3.59713
2013,07,26,3.30084
2013,07,27,1.65841
2013,07,28,1.83824
2013,07,29,3.73643
2013,07,30,3.88516
2013,07,31,3.73842
2013,08,01,3.73240
2013,08,02,3.32420
2013,08,03,1.72728
2013,08,04,1.65665
2013,08,05,3.85335
2013,08,06,3.82509
2013,08,07,3.70438
2013,08,08,3.73646
2013,08,09,3.20748
2013,08,10,2.04121
2013,08,11,1.86563
2013,08,12,3.78939
2013,08,13,3.54230
2013,08,14,3.63736
2013,08,15,3.63223
2013,08,16,3.38999
2013,08,17,1.87525
2013,08,18,2.18434
2013,08,19,3.88726
2013,08,20,3.71081
2013,08,21,3.83614
2013,08,22,3.73052
