Year,Month,Day,Consumption,Companies,Installations,
2018,01,01,690.06503,9,58,
2018,01,02,1 537.54622,9,58,
2018,01,03,1 622.22594,9,58,
2018,01,04,1 582.86276,9,58,
2018,01,05,1 348.77045,9,58,
2018,01,06,889.21674,9,58,
2018,01,07,900.75712,9,58,
2018,01,08,1 739.73662,9,58,
2018,01,09,1 764.41514,9,58,
2018,01,10,1 789.75515,9,58,
2018,01,11,1 808.52538,9,58,
2018,01,12,1 603.50015,9,58,
2018,01,13,1 045.88674,9,58,
2018,01,14,971.22405,9,58,
2018,01,15,1 801.56526,9,58,
2018,01,16,1 802.69962,9,58,
2018,01,17,1 801.08016,9,58,
2018,01,18,1 808.19651,9,58,
2018,01,19,1 584.29742,9,58,
2018,01,20,1 090.40266,9,58,
2018,01,21,963.25232,9,58,
2018,01,22,1 824.71007,9,58,
2018,01,23,1 841.98543,9,58,
2018,01,24,1 834.22783,9,58,
2018,01,25,1 809.42774,9,58,
2018,01,26,1 577.39676,9,58,
2018,01,27,1 002.68981,9,58,
2018,01,28,965.12904,9,58,
2018,01,29,1 846.61494,9,58,
2018,01,30,1 879.45473,9,58,
2018,01,31,1 850.30750,9,58,
2018,02,01,1 818.46916,9,58,
2018,02,02,1 623.92225,9,58,
2018,02,03,1 103.63259,9,58,
2018,02,04,1 001.04396,9,58,
2018,02,05,1 835.68324,9,58,
2018,02,06,1 890.26665,9,58,
2018,02,07,1 869.93392,9,58,
2018,02,08,1 818.10540,9,58,
2018,02,09,1 663.80313,9,58,
2018,02,10,1 147.24770,9,58,
2018,02,11,992.00168,9,58,
2018,02,12,1 790.76728,9,58,
2018,02,13,1 824.04840,9,58,
2018,02,14,1 853.53762,9,58,
2018,02,15,1 808.23874,9,58,
2018,02,16,1 608.00076,9,58,
2018,02,17,1 132.86201,9,58,
2018,02,18,1 016.08685,9,58,
2018,02,19,1 846.08440,9,59,
2018,02,20,1 839.87012,9,59,
2018,02,21,1 862.78746,9,59,
2018,02,22,1 863.08789,9,59,
2018,02,23,1 637.98510,9,59,
2018,02,24,1 094.89237,9,59,
2018,02,25,1 037.38909,9,59,
2018,02,26,1 800.40332,9,59,
2018,02,27,1 856.16273,9,59,
2018,02,28,1 906.79230,9,59,
2018,03,01,1 861.90278,9,59,
2018,03,02,1 711.96585,9,59,
2018,03,03,1 087.87412,9,59,
2018,03,04,1 071.69088,9,59,
2018,03,05,1 846.57145,9,59,
2018,03,06,1 797.77261,9,59,
2018,03,07,1 773.66798,9,59,
2018,03,08,1 826.72064,9,59,
2018,03,09,1 670.77708,9,59,
2018,03,10,1 065.87400,9,59,
2018,03,11,968.90569,9,59,
2018,03,12,1 813.16491,9,59,
2018,03,13,1 873.20809,9,59,
2018,03,14,1 861.01636,9,59,
2018,03,15,1 866.53548,9,59,
2018,03,16,1 687.80340,9,59,
2018,03,17,1 112.65538,9,59,
2018,03,18,1 070.62974,9,59,
2018,03,19,1 804.31191,9,59,
2018,03,20,1 832.60667,9,59,
2018,03,21,1 830.19658,9,59,
2018,03,22,1 808.49932,9,59,
2018,03,23,1 657.71480,9,59,
2018,03,24,1 127.16205,9,59,
2018,03,25,1 067.46129,9,59,
2018,03,26,1 762.54316,9,59,
2018,03,27,1 780.97195,9,59,
2018,03,28,1 863.68721,9,59,
2018,03,29,1 636.67340,9,59,
2018,03,30,981.21686,9,59,
2018,03,31,796.64989,9,59,
2018,04,01,800.73372,9,59,
2018,04,02,1 041.92097,9,59,
2018,04,03,1 653.27119,9,59,
2018,04,04,1 668.03561,9,59,
2018,04,05,1 635.15449,9,59,
2018,04,06,1 441.49164,9,59,
2018,04,07,984.92054,9,59,
2018,04,08,1 027.80057,9,59,
2018,04,09,1 698.82554,9,59,
2018,04,10,1 753.95601,9,59,
2018,04,11,1 766.90056,9,59,
2018,04,12,1 787.75914,9,59,
2018,04,13,1 618.63777,9,59,
2018,04,14,1 102.34095,9,59,
2018,04,15,1 067.18254,9,59,
2018,04,16,1 785.29155,9,59,
2018,04,17,1 772.46744,9,59,
2018,04,18,1 761.43459,9,59,
2018,04,19,1 752.26462,9,59,
2018,04,20,1 552.30095,9,59,
2018,04,21,1 011.71392,9,59,
2018,04,22,1 041.51488,9,59,
2018,04,23,1 771.89373,9,59,
2018,04,24,1 795.98764,9,59,
2018,04,25,1 739.16696,9,59,
2018,04,26,1 775.08003,9,59,
2018,04,27,1 563.39914,9,59,
2018,04,28,954.00733,9,59,
2018,04,29,996.07844,9,59,
2018,04,30,1 475.48572,9,59,
2018,05,01,1 278.42494,9,59,
2018,05,02,1 708.62670,9,59,
2018,05,03,1 711.44766,9,59,
2018,05,04,1 588.24600,9,59,
2018,05,05,974.20610,9,59,
2018,05,06,1 010.23783,9,59,
2018,05,07,1 702.83796,9,59,
2018,05,08,1 724.43390,9,59,
2018,05,09,1 663.78476,9,59,
2018,05,10,1 247.04512,9,59,
2018,05,11,1 154.12723,9,59,
2018,05,12,890.63888,9,59,
2018,05,13,958.71067,9,59,
2018,05,14,1 755.22331,9,59,
2018,05,15,1 740.90933,9,59,
2018,05,16,1 751.28587,9,59,
2018,05,17,1 748.89887,9,59,
2018,05,18,1 565.16455,9,59,
2018,05,19,939.40823,9,59,
2018,05,20,952.85489,9,59,
2018,05,21,1 765.11687,9,59,
2018,05,22,1 776.17753,9,59,
2018,05,23,1 744.06358,9,59,
2018,05,24,1 756.53945,9,59,
2018,05,25,1 606.01584,9,59,
2018,05,26,1 010.47629,9,59,
2018,05,27,1 070.05604,9,59,
2018,05,28,1 729.55463,9,59,
2018,05,29,1 749.98172,9,59,
2018,05,30,1 751.71843,9,59,
2018,05,31,1 733.58226,9,59,
2018,06,01,1 626.00269,9,59,
2018,06,02,1 057.92739,9,59,
2018,06,03,1 090.10848,9,59,
2018,06,04,1 806.02804,9,59,
2018,06,05,1 790.56213,9,59,
2018,06,06,1 582.00441,9,59,
2018,06,07,1 760.31739,9,59,
2018,06,08,1 514.58348,9,59,
2018,06,09,980.62396,9,59,
2018,06,10,1 071.68023,9,59,
2018,06,11,1 769.94425,9,59,
2018,06,12,1 749.44349,9,59,
2018,06,13,1 741.80152,9,59,
2018,06,14,1 768.32627,9,59,
2018,06,15,1 545.65063,9,59,
2018,06,16,1 150.54660,9,59,
2018,06,17,1 096.42598,9,59,
2018,06,18,1 723.69666,9,59,
2018,06,19,1 767.31741,9,59,
2018,06,20,1 757.72759,9,59,
2018,06,21,1 630.88609,9,59,
2018,06,22,778.27328,9,59,
2018,06,23,749.95820,9,59,
2018,06,24,922.73476,9,59,
2018,06,25,1 747.27195,9,59,
2018,06,26,1 816.46739,9,59,
2018,06,27,1 785.49774,9,59,
2018,06,28,1 803.83893,9,59,
2018,06,29,1 604.62027,9,59,
2018,06,30,1 052.25005,9,59,
2018,07,01,1 076.91110,9,59,
2018,07,02,1 748.31465,9,59,
2018,07,03,1 761.24966,9,59,
2018,07,04,1 771.48535,9,59,
2018,07,05,1 781.98962,9,59,
2018,07,06,1 583.60800,9,59,
2018,07,07,1 109.36907,9,59,
2018,07,08,1 093.37990,9,59,
2018,07,09,1 731.82778,9,59,
2018,07,10,1 735.03327,9,59,
2018,07,11,1 739.52080,9,59,
2018,07,12,1 708.07263,9,59,
2018,07,13,1 460.05395,9,59,
2018,07,14,914.12857,9,59,
2018,07,15,770.50333,9,59,
2018,07,16,816.73115,9,59,
2018,07,17,795.97501,9,59,
2018,07,18,734.33717,9,59,
2018,07,19,691.32746,9,59,
2018,07,20,662.17089,9,59,
2018,07,21,523.47400,9,59,
2018,07,22,515.32000,9,59,
2018,07,23,628.78348,9,59,
2018,07,24,624.77069,9,59,
2018,07,25,656.77056,9,59,
2018,07,26,653.48995,9,59,
2018,07,27,639.62332,9,59,
2018,07,28,539.09666,9,59,
2018,07,29,519.25317,9,59,
2018,07,30,626.59894,9,59,
2018,07,31,656.57962,9,59,
2018,08,01,645.65936,9,59,
2018,08,02,652.15565,9,59,
2018,08,03,649.59266,9,59,
2018,08,04,547.12689,9,59,
2018,08,05,536.52628,9,59,
2018,08,06,741.35641,9,59,
2018,08,07,805.72979,9,59,
2018,08,08,859.00163,9,59,
2018,08,09,885.16560,9,59,
