VALIDDATE,ISSUEDATE,EIAKT,EINORM,GDAKT,GDNORM,TTAKT,TTNORM
2013-01-01,2013-01-02,19.3,23.4,16.6,19.6,0.4,-2.4
2013-01-02,2013-01-03,21.1,23.3,17.9,19.7,-0.9,-2.4
2013-01-03,2013-01-04,18.7,23.4,15,19.7,2,-2.5
2013-01-04,2013-01-05,22.6,23.4,20.2,19.8,-3.2,-2.5
2013-01-05,2013-01-06,23.4,23.5,19.6,19.8,-2.6,-2.6
2013-01-06,2013-01-07,22,23.5,18,19.9,-1,-2.7
2013-01-07,2013-01-08,20.3,23.5,16.8,19.9,0.2,-2.7
2013-01-08,2013-01-09,21.2,23.6,18,19.9,-1,-2.7
2013-01-09,2013-01-10,23.8,23.6,19,19.9,-2,-2.8
2013-01-10,2013-01-11,24.8,23.6,19.7,19.9,-2.7,-2.8
2013-01-11,2013-01-12,24.9,23.7,21.7,19.9,-4.7,-2.9
2013-01-12,2013-01-13,26.7,23.7,24,20,-7,-2.9
2013-01-13,2013-01-14,28.3,23.7,24.1,20,-7.1,-2.9
2013-01-14,2013-01-15,26.6,23.7,21.9,20,-4.9,-3
2013-01-15,2013-01-16,24,23.7,20.3,20,-3.3,-3
2013-01-16,2013-01-17,24.1,23.7,21.4,20,-4.4,-3
2013-01-17,2013-01-18,30.3,23.7,29.4,20,-12.4,-3
2013-01-18,2013-01-19,38,23.7,35.2,20,-18.2,-3.1
2013-01-19,2013-01-20,29.3,23.7,22,20,-5,-3.2
2013-01-20,2013-01-21,26.7,23.7,24.1,20,-7.1,-3.2
2013-01-21,2013-01-22,33.6,23.7,30.8,20,-13.8,-3.3
2013-01-22,2013-01-23,33.7,23.7,29.8,20.1,-12.8,-3.3
2013-01-23,2013-01-24,35.3,23.7,32.4,20.2,-15.4,-3.3
2013-01-24,2013-01-25,36,23.7,30.1,20.3,-13.1,-3.3
2013-01-25,2013-01-26,27.8,23.6,22.1,20.3,-5.1,-3.3
2013-01-26,2013-01-27,25.2,23.6,20.4,20.3,-3.4,-3.4
2013-01-27,2013-01-28,21.2,23.6,15.4,20.3,1.6,-3.3
2013-01-28,2013-01-29,19.1,23.5,15.3,20.3,1.7,-3.3
2013-01-29,2013-01-30,18.9,23.5,14.5,20.2,2.5,-3.4
2013-01-30,2013-01-31,18.6,23.5,15.7,20.2,1.3,-3.5
2013-01-31,2013-02-01,22.2,23.5,20.4,20.2,-3.4,-3.6
2013-02-01,2013-02-02,25.6,23.5,22.7,20.1,-5.7,-3.5
2013-02-02,2013-02-03,26,23.4,22,20.1,-5,-3.5
2013-02-03,2013-02-04,23,23.4,18.3,20.1,-1.3,-3.5
2013-02-04,2013-02-05,20.1,23.3,16.5,20,0.5,-3.5
2013-02-05,2013-02-06,21.7,23.2,18,20,-1,-3.6
2013-02-06,2013-02-07,22.3,23.3,18.1,19.9,-1.1,-3.5
2013-02-07,2013-02-08,22.7,23.2,18.9,20,-1.9,-3.5
2013-02-08,2013-02-09,25.1,23.1,20.7,19.9,-3.7,-3.5
2013-02-09,2013-02-10,26.3,23.2,22.4,19.9,-5.4,-3.5
2013-02-10,2013-02-11,25,23.1,20.9,19.8,-3.9,-3.4
2013-02-11,2013-02-12,22.4,23,18.7,19.8,-1.7,-3.4
2013-02-12,2013-02-13,21.9,22.9,18.9,19.8,-1.9,-3.4
2013-02-13,2013-02-14,20.4,22.8,17,19.7,0,-3.3
2013-02-14,2013-02-15,19.7,22.8,16.9,19.6,0.1,-3.3
2013-02-15,2013-02-16,19.4,22.7,16.5,19.6,0.5,-3.2
2013-02-16,2013-02-17,19.8,22.6,16.8,19.5,0.2,-3.1
2013-02-17,2013-02-18,20.9,22.5,18.1,19.4,-1.1,-3.1
2013-02-18,2013-02-19,22.3,22.5,18.2,19.3,-1.2,-3
2013-02-19,2013-02-20,22.9,22.4,19.3,19.3,-2.3,-2.9
2013-02-20,2013-02-21,24.6,22.3,22.8,19.2,-5.8,-2.8
2013-02-21,2013-02-22,24.2,22.2,20.6,19.3,-3.6,-2.7
2013-02-22,2013-02-23,22.2,22.1,19.7,19.2,-2.7,-2.6
2013-02-23,2013-02-24,25.8,22,22,19.1,-5,-2.5
2013-02-24,2013-02-25,27.9,21.9,23.6,19,-6.6,-2.4
2013-02-25,2013-02-26,25.9,21.7,21,19,-4,-2.3
2013-02-26,2013-02-27,18.1,21.7,15,18.9,2,-2.2
2013-02-27,2013-02-28,19.1,21.6,16,18.9,1,-2.1
2013-02-28,2013-03-01,18.7,21.3,16.3,18.8,0.7,-1.9
2013-03-01,2013-03-02,22.1,21.3,18,18.7,-1,-1.8
2013-03-02,2013-03-03,21.1,21.1,18.5,18.6,-1.5,-1.7
2013-03-03,2013-03-04,21.2,21,16.8,18.5,0.2,-1.6
2013-03-04,2013-03-05,18.6,20.8,15.5,18.4,1.5,-1.5
2013-03-05,2013-03-06,18.2,20.8,15.4,18.3,1.6,-1.3
2013-03-06,2013-03-07,21,20.6,20.4,18.1,-3.4,-1.2
2013-03-07,2013-03-08,24.4,20.5,22.7,18,-5.7,-1.1
2013-03-08,2013-03-09,25.1,20.4,24.4,17.9,-7.4,-0.9
2013-03-09,2013-03-10,27.7,20.4,26.3,17.8,-9.3,-0.8
2013-03-10,2013-03-11,27.6,20.2,24.9,17.6,-7.9,-0.7
2013-03-11,2013-03-12,24.7,20.1,21.4,17.5,-4.4,-0.6
2013-03-12,2013-03-13,25.5,19.9,24.6,17.4,-7.6,-0.4
2013-03-13,2013-03-14,28.9,19.7,26.3,17.2,-9.3,-0.3
